['Address', 'Name', 'SUPER ID'],
['בית שמש, unknown', 'אושר עד', 0], 
['ירושלים, פייר קניג 26 קניון הדר', 'אושר עד', 0], 
['בני ברק, הקישון 11', 'אושר עד', 0], 
['ירושלים, בית הדפוס 29', 'אושר עד', 0], 
['פתח תקווה, unknown', 'אושר עד', 0], 
['כנות, אדום 24 פארק התעשיות כנות', 'אושר עד', 0], 
['ירושלים, שמגר 16', 'אושר עד', 0], 
['קרית ביאליק, הנס מולר 6, צור שלום', 'אושר עד', 0], 
['מגדל העמק, האיצטדיון 11', 'אושר עד', 0], 
['אשקלון בת הדר, unknown', 'אושר עד', 0], 
['אשדוד, בעלי המלאכה 4', 'אושר עד', 0], 
['לוד, בת שבע 1 מתחם טלרד', 'אושר עד', 0], 
['באר שבע, הקוצר 15 אזור תעשיה עמק שרה', 'אושר עד', 0], 
['Address', 'Name', 'SUPER ID'],
['תל אביב, נחלת בנימין 85', 'Dor Alon', 1], 
['משמר השרון, צ.העוגן כביש 4 קיבוץ משמר השרון', 'Dor Alon', 1], 
['תל אביב, דיזנגוף 224', 'Dor Alon', 1], 
['קיבוץ שדה ורבורג, קיבוץ שדה ורבורג', 'Dor Alon', 1], 
['תל אביב, דרך  נימר 170', 'Dor Alon', 1], 
['תל אביב, אלנבי 115', 'Dor Alon', 1], 
['להבות חביבה, כביש 581 בין צומת הרוא"ה וצומת ברקאי', 'Dor Alon', 1], 
['הרצליה פיתוח, הנשיא יצחק בן צבי 75', 'Dor Alon', 1], 
['קיבוץ כפר הנשיא, קיבוץ כפר הנשיא', 'Dor Alon', 1], 
['מושב אחיטוב, מושב אחיטוב', 'Dor Alon', 1], 
['קיבוץ איילת  השחר, קיבוץ איילת השחר', 'Dor Alon', 1], 
['מושב ישרש, מושב ישרש', 'Dor Alon', 1], 
['תל אביב, י.ל פרץ 29', 'Dor Alon', 1], 
['תל אביב, שדרות ירושלים 11', 'Dor Alon', 1], 
['קיבוץ בן נון, קיבות בן נון', 'Dor Alon', 1], 
['בת ים, בן גוריון 119', 'Dor Alon', 1], 
['עינת, קיבוץ עינת ליד ראש העין', 'Dor Alon', 1], 
['נווה מונסון, רחוב השקד 30', 'Dor Alon', 1], 
['תל אביב, בן יהודה 195', 'Dor Alon', 1], 
['תל אביב, בן יהודה 61', 'Dor Alon', 1], 
['הרצליה, סוקולוב 10', 'Dor Alon', 1], 
['תל אביב, קינג גורג 99', 'Dor Alon', 1], 
['קיבוץ גשר, קיבוץ גשר', 'Dor Alon', 1], 
['תל אביב, פינסקר 10', 'Dor Alon', 1], 
['רמת גן, זבוטינסקי 44', 'Dor Alon', 1], 
['בית השיטה, צומת בית השיטה כביש 70', 'Dor Alon', 1], 
['תל אביב, בן יהודה 30', 'Dor Alon', 1], 
['תל אביב, דיזנגוף 193', 'Dor Alon', 1], 
['גבעיים, כצנלסון 129', 'Dor Alon', 1], 
['תל אביב, אבן גבירול 72/74', 'Dor Alon', 1], 
['מושב בית יהושוע, מושב בית יהושוע', 'Dor Alon', 1], 
['קיבוץ בית זרע, קיבוץ בית זרע', 'Dor Alon', 1], 
['תל אביב, קינג גורג 24', 'Dor Alon', 1], 
['מושב שדי חמד, מושב שדי חמד', 'Dor Alon', 1], 
['תל אביב, הרצל 91', 'Dor Alon', 1], 
['תל אביב, הרואה 9', 'Dor Alon', 1], 
